MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7932823,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1313.4530000,-0.0487133,-0.0717945,-0.0824560
MsgID.LOCAL_VELOCITY,1313.4530000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932805,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1313.7030000,-0.0917028,0.0004864,-0.0824970
MsgID.LOCAL_VELOCITY,1313.7030000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957517,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957523,37.7932815,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1313.9540000,0.1367426,-0.1040597,-0.0827271
MsgID.LOCAL_VELOCITY,1313.9540000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957522,37.7932827,0.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1314.2040000,-0.0305331,0.1251903,-0.0846977
MsgID.LOCAL_VELOCITY,1314.2040000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957499,37.7932807,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1314.4540000,-0.0525356,0.1410331,-0.0896814
MsgID.LOCAL_VELOCITY,1314.4540000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932818,0.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1314.7040000,0.1629554,0.1994063,-0.0972640
MsgID.LOCAL_VELOCITY,1314.7040000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957517,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957494,37.7932829,0.1000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1314.9540000,0.0140668,0.0700664,-0.1082859
MsgID.LOCAL_VELOCITY,1314.9540000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932810,0.1120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1315.2040000,-0.1054463,-0.0968471,-0.1188769
MsgID.LOCAL_VELOCITY,1315.2040000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957526,37.7932805,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1315.4540000,-0.1079557,0.0326687,-0.1270830
MsgID.LOCAL_VELOCITY,1315.4540000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957503,37.7932809,0.1290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
